transformed,raw
Minister of Forestry,Forest Economy
Minister of Forestry,Forest Economy and Environment
Minister of Forestry,Forestry in charge of Fisheries and Marine Resources
Minister of Health,Health and Population
Minister of Health,"Health, Population, Promotion of Women and Integration of Women in Development"
Minister of Health,"Health, Social Affairs, and Family"
Minister of Health,"Health, Solidarity and Humanitarian Action"
Minister of Higher Education,Higher Education
Minister of Higher Education,Higher Education and Scientific Research
Minister of Hydrocarbons,Hydrocarbons
Minister of Industrial Development,Industrial Development
Minister of Industrial Development,Industrial Development and Promotion of the Private Sector
Minister of Industrial Development,"Industrial Development, Small and Medium Enterprises and Handicrafts"
Minister of Industry,Industry and Environment
Minister of Interior,Interior and Decentralization
Minister of Interior,"Interior, Decentralization, and Local Development"
Minister of Interior,"Interior, Security and Territorial Administration"
Minister of Justice,Justice
Minister of Justice,Justice and Human Rights
Minister of Justice,"Justice, Human Rights and Promotion of Indigenous Peoples"
Minister of Labour,Labour and Social Security
Minister of Labour,"Labour, Employment, and Social Security"
Minister of Land,Land Affairs
Minister of Land,Land Reform
Minister of Maritime Economy and Merchant Navy,Maritime Economy and Merchant Navy
Minister of Mines,Mines and Mineral Industry
Minister of Mines,"Mines, Energy, and Hydraulics"
Minister of National Defence,National Defence
Minister of National Defence,National Defence and War Veterans
Minister of Planning,Planning and Integration
Minister of Planning,Planning and Territory Improvement
Minister of Planning,"Planning, Statistics and Regional Integration"
Minister of Planning,"Planning, Territory Improvement, and Economic Integration"
Minister of Posts and Telecommunications,Posts and Telecommunications
Minister of Posts and Telecommunications,"Posts and Telecommunications, and New Communication Technologies"
Minister of Reconstruction and Urban Development,Reconstruction and Urban Development
Minister of Regional Integration,Regional Integration and NEPAD
Minister of Regional Planning,Regional Planning and Planning of large Projects
Minister of Scientific Research,Scientific Research
Minister of Scientific Research,Scientific Research and Technical Innovation
Minister of Security and Public Order,Security and Public Order
Minister of Small and Medium Enterprises and Handicrafts,Small and Medium Enterprises and Handicrafts
Minister of Social Affairs,"Social Affairs, Humanitarian action, and Solidarity"
Minister of Social Affairs,"Social Solidarity, Humanitarian Action, Disabled War Veterans, and Family Affairs"
Minister of Special Economic Zones,Special Economic Zones
Minister of Sports,Sports
Minister of State Control,State Control
Minister of Sustainable Development,Sustainable Development and Forest Economy
Minister of Sustainable Development,"Sustainable Development, Forest Economy and the Environment"
Minister of Territorial Administration,Territorial and Regional Development
Minister of Territory Administration,Territory Administration and Decentralization
Minister of Tourism,Tourism
Minister of Tourism,Tourism and Environment
Minister of Trade,"Trade and Supply, Small and Medium Enterprises in charge of Handicrafts"
Minister of Transport,Transport and Civil Aviation
Minister of Transport,Transport and Civil Aviation in charge of Merchant Navy
Minister of Transport,Transport and Privatisation in Charge of Government Action Coordination
Minister of Transport,"Transport, Civil Aviation and the Merchant Navy"
Minister of Women,Promotion of Women
Minister of Youth and Sports,Youth and Sports
Minister without Portfolio,Minister without Portfolio
Prime Minister,Prime Minister
Prime Minister,Prime Minister and Minister of Privatisation
Prime Minister,Prime Minister and Minister of Privatisation and Transport 
Vice-Prime Minister,"Vice-Prime Minister and Minister of Civil Service, Labour, Social Security, and State Reform"
