name,id,found,desc
Jean-Marie Tassoua,Q6169656,Jean-Marie Tassoua,Republic of the Congo politician
Jeanne Dambendzet,Q6172056,Jeanne Dambendzet,Republic of the Congo politician
Josué Rodrigue Ngouonimba,Q55807584,Josué Rodrigue Ngouonimba,Congolese politician
Justin Ballay Megot,Q6317336,Justin Ballay Mégot,Republic of the Congo politician
Lamyr Nguele,Q6482763,Lamyr Nguélé,Republic of the Congo politician
Léon Juste Ibombo,Q40770924,Léon Juste Ibombo,Congolese politician
Léon Raphaël Mokoko,Q25695110,Léon Raphaël Mokoko,Congolese politician
Léon-Alfred Opimbat,Q6711024,Léon-Alfred Opimbat,Republic of the Congo politician
Léonidas Mottom,Q24158913,Léonidas Mottom,Congolese politician
Martin Mberi,Q3295525,Martin M'beri,Congolese politician
Martin Parfait Aimé Coussoud-Mavoungou,Q3295579,Martin Parfait Aimé Coussoud-Mavoungou,Congolese politician
Mathias Dzon,Q6787108,Mathias Dzon,Congolese politician
Mathieu Martial Kani,Q6774710,Martial Mathieu Kani,Republic of the Congo politician
Nicéphore Fylla de Saint-Eudes,Q57464277,Nicéphore Fylla de Saint-Eudes,Congolese politician
Pacifique Issoibeka,Q7122834,Pacifique Issoïbeka,Republic of the Congo politician
Parfait Aimé Coussoud-Mavoungou,Q3295579,Martin Parfait Aimé Coussoud-Mavoungou,Congolese politician
Pierre Damien Boussoukou Boumba,Q7192163,Pierre Damien Boussoukou-Boumba,Republic of the Congo politician
Pierre Ernest Abandzounou,Q7191981,Pierre-Ernest Abandzounou,Republic of the Congo politician
Pierre Mabiala,Q7192339,Pierre Mabiala,Republic of the Congo politician
Pierre Moussa,Q3386379,Pierre Moussa,Republic of the Congo politician
Pierre Nzila,Q7192384,Pierre Nzila,Republic of the Congo politician
Pierre Oba,Q3386464,Pierre Oba,Republic of the Congo politician
Pierre-Michel Nguimbi,Q3383396,Pierre-Michel Nguimbi,Republic of the Congo politician
Raymond Zéphirin Mboulou,Q7299001,Raymond Mboulou,Republic of the Congo politician
Rodolphe Adada,Q3438286,Rodolphe Adada,politician and diplomat
Roger Rigobert Andely,Q23900401,Rigobert Roger Andely,Congolese economist
Rosalie Matondo,Q24176158,Rosalie Matondo,"Congolese Research fellow, agricultural engineer and politician"
Serge Blaise Zoniaba,Q26266432,Serge Blaise Zoniaba,Congolese politician
Thierry Lézin Moungalla,Q19819308,Thierry Moungalla,Congolese politician
Yvonne-Adélaïde Moundélé-Ngollo,Q4686987,Adélaïde Moundélé-Ngollo,Republic of the Congo politician
